index,time
0,00:00
1,00:03
2,00:08
3,00:11
4,00:12
5,00:16
6,00:19
7,00:22
8,00:24
9,00:25
10,00:27
11,00:28
12,00:30
13,00:36
14,00:38
15,00:39
16,00:42
17,00:45
18,00:47
19,00:49
20,00:51
21,00:53
22,00:54
23,00:56
24,00:57
25,00:59
26,01:02
27,01:05
28,01:07
29,01:08
30,01:12
31,01:14
32,01:16
33,01:17
34,01:18
35,01:20
36,01:21
37,01:22
38,01:24
39,01:28
40,01:31
41,01:33
42,01:36
43,01:37
44,01:39
45,01:42
46,01:46
47,01:53
48,01:55
49,01:57
50,02:01
51,02:04
52,02:07
53,02:10
54,02:13
55,02:16
56,02:19
57,02:23
58,02:25
59,02:27
60,02:30
61,02:32
62,02:35
63,02:38
64,02:41
65,02:44
66,02:47
67,02:51
68,02:54
69,02:56
70,02:59
71,03:02
72,03:06
73,03:11
74,03:15
75,03:18
76,03:19
77,03:22
78,03:27
